Open,High,Low,Close,Adj Close,Volume,Search Vol
63237.22266,66016.05469,60726.53516,61815.76953,61815.76953,2.56E+11,0.24663
61676.19922,65119.0625,61055.07031,64808.25391,64808.25391,2.31E+11,0.28807
64876.73047,64884.03516,62322.79688,64552.91406,64552.91406,2.17E+11,0.24268
64546.00391,64870.27344,63923.53906,64528.51172,64528.51172,2.09E+11,0.22887
64688.64063,64748.58984,62668.13672,63714.8125,63714.8125,2.30E+11,0.1973
63631.6875,66967.15625,63434.75781,66765.92969,66765.92969,2.53E+11,0.2782
66739.44531,70197.1875,66157.67969,69755.40625,69755.40625,2.73E+11,0.26242
69760.71875,70441.17188,67420.34375,68467.08594,68467.08594,2.45E+11,0.28609
68465.3125,68895.625,65628.32813,67276.78125,67276.78125,2.44E+11,0.29004
67396.79688,69459.65625,66122.34375,69075.42188,69075.42188,2.96E+11,0.3295
68867.16406,75015.46875,68867.16406,73565.70313,73565.70313,3.42E+11,0.47354
73603.40625,74625.83594,71757.32031,73186.60938,73186.60938,2.96E+11,0.38869
73374.11719,73844.42969,71422.0625,72796.32813,72796.32813,2.62E+11,0.33345
72736.97656,77095.125,72637.45313,75919.72656,75919.72656,3.46E+11,0.4025
75872.63281,76088.70313,65336.26953,65336.26953,65336.26953,4.58E+11,0.43407
65205.79297,65232.03906,61509.73438,64660.47656,64660.47656,3.95E+11,0.43802
64498.50781,65231.81641,62304.66797,63366.95313,63366.95313,2.59E+11,0.2999
63286.78125,64955.13672,59292.36719,60037.01172,60037.01172,2.52E+11,0.2565
60070.95313,63612.20703,59442.33203,61899.57422,61899.57422,2.85E+11,0.20125
61977.89844,63250.06641,60476.91797,62059.04688,62059.04688,2.86E+11,0.27425
62071.55078,61786.29688,57429.11719,58929.96875,58929.96875,3.07E+11,0.3078
58954.39063,58999.85156,53801.83203,58152.41797,58152.41797,3.27E+11,0.2782
58407.625,61598.40234,58007.76953,61115.67188,61115.67188,3.31E+11,0.2269
61240.28516,65464.0625,59728.84766,63403.01953,63403.01953,3.77E+11,0.24466
63134.51172,65447.44141,62953.41016,63556.10156,63556.10156,2.82E+11,0.23677
63408.0625,64312.50781,61702.30859,63872.09375,63872.09375,2.85E+11,0.21901
63925.23438,64872.41797,58344.80078,59138.01172,59138.01172,2.94E+11,0.29201
58860.33203,61929.99219,57385.65625,60634.30469,60634.30469,3.32E+11,0.24071
60544.97656,61394.57813,58474.53906,60975.80469,60975.80469,3.05E+11,0.2999
61018.78906,63783.52734,60005.23438,63283.27734,63283.27734,2.91E+11,0.28017
63448.98828,69117.95313,63041.28906,67701.67188,67701.67188,4.44E+11,0.37488
67804.02344,68740.40625,64324.70703,67380.76563,67380.76563,3.33E+11,0.29201
67505.30469,70387.15625,66831.53906,68438.875,68438.875,3.40E+11,0.2782
68408.64844,68336.89063,63998.57422,64861.625,64861.625,3.32E+11,0.20717
64919.69531,64965.40625,61193.89844,64256.83984,64256.83984,3.93E+11,0.18744
64158.11719,66351.21094,63327.85938,64001.71875,64001.71875,3.28E+11,0.19138
64062.49219,71614.34375,63269.77734,70121.26563,70121.26563,6.39E+11,0.46959
70335.14844,71435,67418.32813,68713.46094,68713.46094,5.11E+11,0.37685
68434.14844,68846.84375,66034.48438,68393.51563,68393.51563,3.95E+11,0.23677
68413.94531,69249.98438,66672.9375,67867.50781,67867.50781,5.14E+11,0.27623
67819.44531,68439.71875,66316.77344,67017.63281,67017.63281,5.08E+11,0.2999
67121.26563,68369.70313,66426.50781,66779.89063,66779.89063,4.98E+11,0.25058
66634.60156,66607.19531,63855.01563,64746.10547,64746.10547,5.10E+11,0.22887
64795.66797,66642.70313,64780.61328,66083.125,66083.125,3.90E+11,0.37883
66142.08594,66872.85938,65185.69922,66523.33594,66523.33594,4.21E+11,0.29596
66647.28906,66638.29688,64768.52344,65485.30859,65485.30859,4.26E+11,0.18547
65588.10156,66010.13281,64702.47266,65567.01563,65567.01563,4.91E+11,0.22098
65647.61719,67804.97656,65289.78125,67389.92969,67389.92969,3.94E+11,0.29004
67427.13281,67506,65948.72656,66553.28906,66553.28906,3.61E+11,0.25255
66497.51563,66487.54688,65040.34766,66307.98438,66307.98438,4.09E+11,0.29793
